name,image_url,user_id,beer_family_id,typical_beer_id
"Dupont Avec Les Bons Vœux 37,5 cl",https://bieronomy.com/23120-home_default/dupont-avec-les-bons-voeux-375-cl.jpg,2,3,51
Pays Flamand - Bracine Triple 75 cl,https://bieronomy.com/24287-home_default/pays-flamand-bracine-triple-75-cl.jpg,2,3,54
St Bernardus Tripel 33 cl,https://bieronomy.com/23295-home_default/st-bernardus-tripel-33-cl.jpg,2,3,54
Rulles La Rulles Blonde 75 cl,https://bieronomy.com/13985-home_default/rulles-la-rulles-blonde-75-cl.jpg,2,3,50
Thiriez | Les Québécoises Blonde au Froment | 75 cl,https://bieronomy.com/21409-home_default/thiriez-les-quebecoises-blonde-au-froment-75-cl.jpg,2,3,50
St Bernardus Tripel 75 cl,https://bieronomy.com/23235-home_default/st-bernardus-tripel-75-cl.jpg,2,3,54
Rulles | La Rulles Estivale Saison | 75 cl,https://bieronomy.com/23128-home_default/rulles-la-rulles-estivale-saison-75-cl.jpg,2,3,51
Thiriez | La Rouge Flamande Ambrée | 75 cl,https://bieronomy.com/21402-home_default/thiriez-la-rouge-flamande-ambree-75-cl.jpg,2,3,42
De Halve Maan Straffe Hendrik Brugs Quadrupel 33 cl,https://bieronomy.com/13886-home_default/de-halve-maan-straffe-hendrik-brugs-quadrupel-33-cl.jpg,2,3,77
Rulles | La Rulles Triple | 75 cl,https://bieronomy.com/23129-home_default/rulles-la-rulles-triple-75-cl.jpg,2,3,54
Thiriez - L'Étoile du Nord Saison houblonnée 75 cl,https://bieronomy.com/21391-home_default/thiriez-l-etoile-du-nord-saison-houblonnee-75-cl.jpg,2,3,51
De Halve Maan Straffe Hendrik Brugs Quadrupel 75 cl,https://bieronomy.com/12923-home_default/de-halve-maan-straffe-hendrik-brugs-quadrupel-75-cl.jpg,2,3,77
Thiriez - L'Ambrée d'Esquelbecq Bio 75 cl,https://bieronomy.com/21393-home_default/thiriez-l-ambree-d-esquelbecq-bio-75-cl.jpg,2,3,50
Straffe Hendrik Brugs Tripel 33 cl De Halve Maan,https://bieronomy.com/12924-home_default/straffe-hendrik-brugs-tripel-33-cl-de-halve-maan.jpg,2,3,54
Dupont Bière de Miel Biologique 75 cl,https://bieronomy.com/11009-home_default/dupont-biere-de-miel-biologique-75-cl.jpg,2,3,50
Thiriez | La Blonde d'Esquelbecq | 75 cl,https://bieronomy.com/21395-home_default/thiriez-la-blonde-d-esquelbecq-75-cl.jpg,2,3,50
Straffe Hendrik Brugs Tripel 75 cl De Halve Maan,https://bieronomy.com/13887-home_default/straffe-hendrik-brugs-tripel-75-cl-de-halve-maan.jpg,2,3,54
Dupont | Moinette Biologique | 75 cl,https://bieronomy.com/23121-home_default/dupont-moinette-biologique-75-cl.jpg,2,3,50
Brasserie Veyrat - La Liberté Blonde Bio 33 cl,https://bieronomy.com/20981-home_default/brasserie-veyrat-la-liberte-blonde-bio-33-cl.jpg,2,3,50
Westmalle Trappist Tripel 33 cl,https://bieronomy.com/13961-home_default/westmalle-trappist-tripel-33-cl.jpg,2,3,54
