name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id,heroku 
Halte 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/3957c60350b69422e0b95969841ad269da613174_BBO043935_1.png,3,51,4.2,2,3,
Courson 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f75d7b04f5b5651543a05953dcac4b7e818dfe1f_BBO043910_1.png,3,51,5.6,2,3,
Bivouac 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/11850daa23df5fbd32f51fcbd1b87a2812788ef9_BBO043936_1.png,3,51,6.9,2,3,
3 Monts Bière Nouvelle 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/29d1055795ae1b432adb3a2968466cb40ce4251e_BBO041947_1.png,3,51,7.5,2,3,
1984 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0509851e45918e4471180480c74dca5d8d443a8b_BBO038603_1.png,3,51,6.5,2,3,
Solstice 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/61f6c4663b5a38268b4aafa4ee5455b11c01b5c9_BBO038960_1.png,3,51,6,2,3,
Muse 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d1c91dc9f7b663e7e4c3cb3a7b1396b9a616eb03_BBO041574_1.png,3,51,9.5,2,3,
3 Monts Saison 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/9fb5253bef21f30d223633ffbc64c323efba9596_BBO038968_1.png,3,51,6.5,2,3,
3 Monts Saison 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/65a8d015e700eb46154fe009c6d339b591c4e94c_BBO038870_1.png,3,51,6.5,2,3,
Enfant Sauvage  33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1e60f4188ccb46a79b024381da6f9e72701697ce_BBO039087_1.png,3,51,6.2,2,3,
Saison 1900 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d170b97a47f488b8f1111eaccc4493bae6f28c9b_BBO038865_1.png,3,51,5.4,2,3,
"Colette 35,5 cl",https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8b293429204d980b72ee73a2d7a7c6c3aab2aa5d_BBO038130_1.png,3,51,6.5,2,3,
Saison 53 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/da0cf573c50877a048d3988ec1cbca01534ede4c_BBO038484_1.png,3,51,3.5,2,3,
Sur Le Pouce 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6dc600291b44d75f2f2c7db1451e8932540bdf3e_BBO037704_1.png,3,51,6,2,3,
Sauvage 2 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ca044308a94a2ce9df57b2c3944e30e0ef226aeb_BBO030340_1.png,1,51,6,2,3,
Winter Glory 44 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fb531b7c88cc1a8845f9dfea1473bd656d7c3de2_BCA037955_1.png,3,51,5.5,2,3,
Fur & Bones 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fcfe1a4fc9a9417ecbc09fe0fda6da41e3836fec_BBO037416_1.png,3,51,5.9,2,3,
Bête-Raves Sauvages 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1bd90c9d7bc8eb2a7f1fbfa6c2121e76e7d67a47_BBO037021_1.png,8,51,5.9,2,3,
Saison Dupont 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/753d27d1893dbb652b1e16bae293d0e05bcb88d8_BBO033117_1.png,3,51,5.5,2,3,
Super 8 Saison 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6369ca0a6e741e6376ff16d43ebcf716b2702a97_BBO033358_1.png,3,51,4.8,2,3,
Moinette Bon Voeux 75cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/bf722f3351b438c4d05ac54cf1d7b49b8f7a4fb0_BBO032044_1.png,3,51,9.5,2,3,
Mannenliefde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/dc8b528ba64748d10b94db6ea026f5a15a4aae41_BBO033274_1.png,3,51,6,2,3,
Saint Feuillien Saison  33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1ae788cd4e5ef7948085bc0a3e1a0e9a9bd4b445_BBO032115_1.png,3,51,6.5,2,3,
Saison Surfine 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b9fc93661ad5a64944d1722956d211668356568b_BBO032745_1.png,3,51,6.5,2,3,
Little Fawn 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/544f6c8a24fb633aadedbf3972ab4e18196d9403_BCA037739_1.png,3,80,4.2,2,4,
